"","Activity","Measurement","mean","std_dev"
"1","LAYING","angletBodyAccJerkMean_gravityMean",0.0160126165105041,0.343756416830067
"2","LAYING","angletBodyAccMean_gravity",0.0103659924336903,0.220319715328529
"3","LAYING","angletBodyGyroJerkMean_gravityMean",0.00919134168691049,0.392164742288095
"4","LAYING","angletBodyGyroMean_gravityMean",0.0227878882086008,0.369517607872874
"5","LAYING","angleX_gravityMean",0.520261132799383,0.137676906225248
"6","LAYING","angleY_gravityMean",-0.435944284216049,0.335728595445136
"7","LAYING","angleZ_gravityMean",-0.42774881762037,0.351077564597764
"8","LAYING","fBodyAcc_bandsEnergy_1_16",-0.995821497067901,0.0259435135065211
"9","LAYING","fBodyAcc_bandsEnergy_1_16_1",-0.988507269890432,0.0753246302413376
"10","LAYING","fBodyAcc_bandsEnergy_1_16_2",-0.990538686365226,0.0548226626655766
"11","LAYING","fBodyAcc_bandsEnergy_1_24",-0.996033942762346,0.0243966395883223
"12","LAYING","fBodyAcc_bandsEnergy_1_24_1",-0.989247617361111,0.0694909825801618
"13","LAYING","fBodyAcc_bandsEnergy_1_24_2",-0.99067263662037,0.0533906505497617
"14","LAYING","fBodyAcc_bandsEnergy_1_8",-0.995025651959877,0.0313553598813644
"15","LAYING","fBodyAcc_bandsEnergy_1_8_1",-0.986115568352366,0.0941889710710938
"16","LAYING","fBodyAcc_bandsEnergy_1_8_2",-0.988955901294239,0.0658505546578112
"17","LAYING","fBodyAcc_bandsEnergy_17_24",-0.998786003734568,0.00659505236246315
"18","LAYING","fBodyAcc_bandsEnergy_17_24_1",-0.998578115987654,0.00590254211511392
"19","LAYING","fBodyAcc_bandsEnergy_17_24_2",-0.998923456512346,0.00390483165357515
"20","LAYING","fBodyAcc_bandsEnergy_17_32",-0.998503668914609,0.00775128886662503
"21","LAYING","fBodyAcc_bandsEnergy_17_32_1",-0.998067777273663,0.00812899881147623
"22","LAYING","fBodyAcc_bandsEnergy_17_32_2",-0.999056469804527,0.00346741322536749
"23","LAYING","fBodyAcc_bandsEnergy_25_32",-0.998456809140946,0.00758394379444023
"24","LAYING","fBodyAcc_bandsEnergy_25_32_1",-0.998042425658436,0.00981999909301054
"25","LAYING","fBodyAcc_bandsEnergy_25_32_2",-0.999198555072016,0.00290225910506078
"26","LAYING","fBodyAcc_bandsEnergy_25_48",-0.998045488863169,0.0103339929127018
"27","LAYING","fBodyAcc_bandsEnergy_25_48_1",-0.997390602839506,0.0143325613341161
"28","LAYING","fBodyAcc_bandsEnergy_25_48_2",-0.998965525082305,0.00433228059841811
"29","LAYING","fBodyAcc_bandsEnergy_33_40",-0.998353278585391,0.00927879734801821
"30","LAYING","fBodyAcc_bandsEnergy_33_40_1",-0.996739617237654,0.0231439851239602
"31","LAYING","fBodyAcc_bandsEnergy_33_40_2",-0.99875433406893,0.0055805499710344
"32","LAYING","fBodyAcc_bandsEnergy_33_48",-0.998208645036008,0.0107247433635737
"33","LAYING","fBodyAcc_bandsEnergy_33_48_1",-0.99619874122428,0.0236103582422695
"34","LAYING","fBodyAcc_bandsEnergy_33_48_2",-0.998322598436214,0.00826718317065244
